timestamp,open,high,low,close,volume
2025-03-31 20:00:00,1.35260000,1.37320000,1.34490000,1.37310000,44555.57000000
2025-03-31 21:00:00,1.37330000,1.46580000,1.37170000,1.44230000,121856.05000000
2025-03-31 22:00:00,1.44350000,1.47350000,1.42040000,1.44270000,107681.25000000
2025-03-31 23:00:00,1.44120000,1.47200000,1.41000000,1.45000000,82112.50000000
2025-04-01 00:00:00,1.45230000,1.48730000,1.43450000,1.48420000,63556.28000000
2025-04-01 01:00:00,1.48210000,1.50520000,1.45560000,1.48370000,39439.27000000
2025-04-01 02:00:00,1.48280000,1.51990000,1.47090000,1.49380000,37846.75000000
2025-04-01 03:00:00,1.49590000,1.54780000,1.49440000,1.53720000,56511.92000000
2025-04-01 04:00:00,1.53950000,1.56250000,1.50800000,1.52550000,49644.28000000
2025-04-01 05:00:00,1.52530000,1.54260000,1.49730000,1.50580000,112069.62000000
2025-04-01 06:00:00,1.50610000,1.54150000,1.49260000,1.54050000,33557.29000000
2025-04-01 07:00:00,1.54050000,1.54140000,1.49720000,1.51710000,37551.83000000
2025-04-01 08:00:00,1.51240000,1.52650000,1.49780000,1.52290000,27177.17000000
2025-04-01 09:00:00,1.52530000,1.52920000,1.47050000,1.48500000,54591.14000000
2025-04-01 10:00:00,1.48140000,1.53500000,1.48020000,1.52640000,37679.61000000
2025-04-01 11:00:00,1.52380000,1.52810000,1.49620000,1.50220000,33986.72000000
2025-04-01 12:00:00,1.50090000,1.50180000,1.48590000,1.48930000,25199.36000000
2025-04-01 13:00:00,1.48820000,1.51470000,1.48170000,1.49970000,52884.38000000
2025-04-01 14:00:00,1.49800000,1.52970000,1.49110000,1.51670000,39687.19000000
2025-04-01 15:00:00,1.52630000,1.55790000,1.50500000,1.52470000,71561.07000000
2025-04-01 16:00:00,1.52480000,1.54520000,1.50470000,1.52750000,26005.52000000
2025-04-01 17:00:00,1.52450000,1.52750000,1.50840000,1.52000000,18487.76000000
2025-04-01 18:00:00,1.52230000,1.52690000,1.49750000,1.51760000,28954.82000000
2025-04-01 19:00:00,1.51910000,1.54480000,1.51900000,1.54000000,29656.89000000
2025-04-01 20:00:00,1.54100000,1.54890000,1.50820000,1.52200000,63515.79000000
2025-04-01 21:00:00,1.52130000,1.52130000,1.48470000,1.49920000,71353.72000000
2025-04-01 22:00:00,1.49920000,1.51160000,1.49200000,1.50230000,42536.79000000
2025-04-01 23:00:00,1.50230000,1.51750000,1.49960000,1.50450000,31084.15000000
2025-04-02 00:00:00,1.50430000,1.51090000,1.45670000,1.47240000,74053.52000000
2025-04-02 01:00:00,1.46890000,1.47840000,1.45860000,1.47170000,20631.77000000
2025-04-02 02:00:00,1.47130000,1.48540000,1.44160000,1.45990000,85655.53000000
2025-04-02 03:00:00,1.46020000,1.46240000,1.42460000,1.44730000,104547.59000000
2025-04-02 04:00:00,1.44600000,1.45440000,1.43420000,1.43670000,81061.10000000
2025-04-02 05:00:00,1.43810000,1.46980000,1.43530000,1.46300000,104988.22000000
2025-04-02 06:00:00,1.46210000,1.46450000,1.44470000,1.45690000,51617.66000000
2025-04-02 07:00:00,1.45520000,1.46310000,1.43780000,1.44160000,56948.81000000
2025-04-02 08:00:00,1.44130000,1.46030000,1.43470000,1.44350000,44688.30000000
2025-04-02 09:00:00,1.44240000,1.45670000,1.44050000,1.45060000,41110.38000000
2025-04-02 10:00:00,1.45070000,1.45530000,1.42180000,1.42450000,61852.88000000
